4679977,whorutrhh,,276,16695,1
4773397,owainabbott,,0,46906,0
4775774,Beetroot123,,0,37453,0
4713367,phineus+and+ferb,,223,23600,1
4780154,al4i,,0,36812,0
4690832,guest72fbc,,495,13664,1
174217,Lord+Folks,,0,45660,0
596811,skysky,,0,48134,0
4770995,rghy,,221,30737,1
3670060,peskypixie,2803,1567,4667,1
4744228,thorz666,,241,21296,1
4748268,Orvus,,0,46894,0
4788747,Blue2014,,0,37591,0
4773204,selfmuhiu,,241,21293,1
4700045,strnglv,1995,1108,6678,1
4743325,tylergdhc,2947,1237,6083,1
4794567,shahbazdar,,175,36518,1
4224727,motandamer,,0,46409,0
4779723,Water+god+72,382,1077,6842,1
4696936,guest553b1,,221,26708,1
4769995,Vorheesdrake,,575,10596,1
4670776,Booman1987,277,0,37665,0
763926,diabola,,175,36479,1
4236685,richiebaby,,223,23654,1
4792783,Kratos9719,1408,1011,7287,1
4769329,killerrom,,526,13412,1
4685245,Disa-gheorghe,791,725,9086,1
4771168,NiceTroll,,0,46632,0
4691464,guest6546c,,197,34916,1
4726755,morphia123,,247,20319,1
4772920,Ajese,,0,36793,0
4437447,oconnell555,,0,46791,0
593430,gazzola,1326,1841,3674,1
4693363,Lordmonson,197,4292,610,1
4791555,aidan.d123,,245,20587,1
4758549,Fernin66,,544,11691,1
4666089,guest1c79c,,0,40214,0
4773650,IlGladiatore,,533,12661,1
4687178,TheNinja670,,529,13147,1
4560078,sebanina,,0,47905,0
4762016,civecnavi,,757,8894,1
208104,Golden+Age,1540,9525,199,3
4718153,ofera1071,,981,7509,1
4763215,sentouryu,197,1866,3601,1
4696719,guest24489,,0,40345,0
4743098,chrishall285,,0,38042,0
4769335,okki66,,548,11475,1
4626496,menace00,,0,46141,0
4779848,Prudencio,,919,7918,1
447078,maxaryans,,1270,5941,1
4691730,Kismik,,0,45222,0
681527,inaska,,523,13577,1
4787676,Viperatus,,663,9481,1
4764717,blessmegod,3018,1595,4552,1
4772185,zokiduja,,0,49575,0
791849,pklewallen,,0,47160,0
4758421,cheetoz,,1149,6465,1
4736238,Rawlins89,,0,47435,0
4775720,Skinner92,,0,48120,0
4278546,BEN4376,,0,37463,0
4779930,sahalali,,0,47754,0
4769806,metro+utopia,,740,8975,1
1884250,Bagonad,,0,37356,0
4769943,blessman,,221,24562,1
4769820,super+utopia,,0,48462,0
4769985,Vindicat,,0,49141,0
4607973,DariusValauskas,,0,38462,0
4769306,Wimdebaas033,,0,49298,0
4769362,hotcomp,,545,11612,1
4677425,levibean,935,286,16036,1
4626561,chicko92,,199,33569,1
4777358,Alslinger,,0,36951,0
4783097,PrincessElizabith,,0,47257,0
4693078,good66,,259,18395,1
559523,livucus,,219,32986,1
4777206,duke72,,465,13742,1
4678742,Leonides+Macronensi,382,2679,1781,1
4772923,guest9de4a,,0,42347,0
4795818,Werebrix,,175,36528,1
4772924,anlsen123,,197,34106,1
3546850,black0205,,0,37564,0
4666106,montys+killers,,221,30126,1
4777983,anaal,,177,36417,1
2607698,Antonio+Maximus,,834,8349,1
4704865,guestcedee,,0,43119,0
4718616,McDreich,,2275,2520,1
4675900,Laurel.B,545,1705,4114,1
4704792,www85,527,3846,765,1
4246500,draenorc,435,1664,4280,1
4709810,Uzeyr+Mirza,1798,1859,3621,1
4783774,mikes1245,,259,18412,1
2903806,Najcheski,,317,14333,1
4797382,m2014000,,175,36507,1
4784251,Kuba96,,245,20910,1
4372058,abdinurh,,268,17652,1
4793485,pigally,,584,10310,1
4691205,Jelena+M,,707,9238,1
2906862,Danimal1501,516,1385,5461,1
3331064,MarikaH,435,2960,1408,1
4667043,Andre+george,,0,37032,0
4771002,vitsuhuynh,2163,1458,5154,1
4674909,Van+Der+Decken,935,1179,6350,1
4714765,Laurel+Aldridge,,772,8798,1
4763302,Fanoe,2739,2194,2690,1
4669486,Slashas,24,3469,967,1
4745844,brooksgayton,1326,1245,6051,1
4752084,Tamal+Chattaraj,1198,1801,3817,1
4603436,dili123,,221,25184,1
4773205,buteandrei,,0,37824,0
3544181,africans,3115,720,9129,1
